epoch,accuracy
0,0.435200
1,0.507300
2,0.576400
3,0.603800
4,0.608500
5,0.697100
6,0.682000
7,0.728900
8,0.704000
9,0.730900
10,0.760300
11,0.768400
12,0.767700
13,0.765800
14,0.759900
15,0.776400
16,0.772100
17,0.795000
18,0.769400
19,0.773600
20,0.779600
21,0.808500
22,0.778200
23,0.789400
24,0.798800
25,0.779300
26,0.752000
27,0.816800
28,0.796000
29,0.798500
30,0.794200
31,0.806900
32,0.809500
33,0.800000
34,0.791000
35,0.768300
36,0.807100
37,0.765300
38,0.767200
39,0.827200
40,0.798300
41,0.795900
42,0.787400
43,0.819800
44,0.823600
45,0.817800
46,0.810100
47,0.808600
48,0.793300
49,0.799200
50,0.793900
51,0.819700
52,0.807200
53,0.804300
54,0.831200
55,0.824000
56,0.819900
57,0.824200
58,0.816700
59,0.824200
60,0.817900
61,0.828900
62,0.821900
63,0.781700
64,0.759700
65,0.811300
66,0.805500
67,0.809100
68,0.805200
69,0.840700
70,0.807900
71,0.799600
72,0.832400
73,0.834300
74,0.808300
75,0.788500
76,0.818400
77,0.808800
78,0.792900
79,0.806300
80,0.798500
81,0.793500
82,0.796800
83,0.824200
84,0.821700
85,0.736900
86,0.790000
87,0.819200
88,0.837200
89,0.809800
90,0.833300
91,0.789200
92,0.753200
93,0.825600
94,0.810400
95,0.814600
96,0.815200
97,0.828500
98,0.829200
99,0.843300
100,0.816500
101,0.887700
102,0.895800
103,0.897900
104,0.899800
105,0.899400
106,0.897600
107,0.902800
108,0.901800
109,0.901500
110,0.903100
111,0.900900
112,0.903600
113,0.902000
114,0.904500
115,0.903300
116,0.901000
117,0.904700
118,0.898300
119,0.902300
120,0.902800
121,0.902100
122,0.899500
123,0.896400
124,0.896900
125,0.898500
126,0.893100
127,0.893700
128,0.897000
129,0.895100
130,0.896200
131,0.893500
132,0.896200
133,0.892600
134,0.897400
135,0.891800
136,0.892200
137,0.892600
138,0.892900
139,0.895800
140,0.891700
141,0.892800
142,0.894300
143,0.894000
144,0.893300
145,0.892200
146,0.893200
147,0.889500
148,0.897700
149,0.887500
150,0.892500
151,0.893600
152,0.891500
153,0.894700
154,0.900000
155,0.895500
156,0.883600
157,0.878100
158,0.891800
159,0.893600
160,0.893900
161,0.886000
162,0.888300
163,0.889600
164,0.888800
165,0.888500
166,0.885700
167,0.893100
168,0.892500
169,0.893800
170,0.882500
171,0.897600
172,0.887300
173,0.882400
174,0.889100
175,0.895600
176,0.891300
177,0.893800
178,0.892200
179,0.885800
180,0.884800
181,0.889100
182,0.889200
183,0.886700
184,0.884300
185,0.892000
186,0.884200
187,0.886300
188,0.890200
189,0.887900
190,0.892500
191,0.894000
192,0.895900
193,0.893100
194,0.893500
195,0.890200
196,0.892100
197,0.891600
198,0.884000
199,0.889800
200,0.887900
201,0.884500
202,0.884900
203,0.891400
204,0.894900
205,0.885300
206,0.883300
207,0.892900
208,0.890400
209,0.883700
210,0.893800
211,0.890500
212,0.889500
213,0.887400
214,0.890900
215,0.890400
216,0.886600
217,0.887700
218,0.893300
219,0.889600
220,0.888400
221,0.891800
222,0.892500
223,0.890100
224,0.882400
225,0.888400
226,0.894000
227,0.889400
228,0.889300
229,0.895800
230,0.894200
231,0.889900
232,0.888500
233,0.890700
234,0.895100
235,0.888500
236,0.889100
237,0.897600
238,0.888500
239,0.887100
240,0.897600
241,0.885000
242,0.890400
243,0.889000
244,0.887500
245,0.893100
246,0.891800
247,0.891500
248,0.888600
249,0.893500
250,0.887900
251,0.890800
252,0.885200
253,0.892300
254,0.895500
255,0.888000
256,0.894400
257,0.890600
258,0.892000
259,0.889600
260,0.896000
261,0.889900
262,0.886500
263,0.891500
264,0.888100
265,0.894200
266,0.889300
267,0.893800
268,0.894300
269,0.883700
270,0.892000
271,0.887400
272,0.893700
273,0.887400
274,0.884800
275,0.889900
276,0.891000
277,0.891500
278,0.893200
279,0.894500
280,0.890800
281,0.889200
282,0.891000
283,0.889000
284,0.888000
285,0.890900
286,0.892700
287,0.893700
288,0.889700
289,0.893000
290,0.885500
291,0.889600
292,0.898100
293,0.889500
294,0.889200
295,0.890900
296,0.892000
297,0.895400
298,0.891500
299,0.891200
